Sum of Profit,Column Labels,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Grand Total
,,,,,,,,,,,,,
Row Labels,,,,,,,,,,,,,
Mid West,226976,259899,211383,225800,271895,282079,111800,198866,217687,210353,184242,133277,2534257
North East,117087,89684,87946,68799,170242,97369,29682,25752,65143,186828,97544,169672,1205748
South,300275,310292,491416,719098,427207,391655,520290,287954,375341,553053,261975,420907,5059463
West,245948,227513,195816,288412,217197,233447,296656,222079,181944,260797,231349,231406,2832564
Grand Total,890286,887388,986561,1302109,1086541,1004550,958428,734651,840115,1211031,775110,955262,11632032
